me,c1,c2,c3,c4,c5,l1,l2,l3,l4,l5,paper,win
딸바블퓨파,용,샤,바,퓨,정,5,5,3,1,4,3,1
딸바블퓨파,용,바,블,정,아,5,2,5,5,5,7,0
홀라바퓨정,딸,블,퓨,,,5,5,2,,,7,1
홀딸샤바퓨,홀,딸,,,퓨,2,5,,,2,10,0
홀라바퓨정,홀,,바,블,,2,,1,5,,5,0
용바블퓨정,,바,블,정,,,2,5,5,,6,1
홀딸샤바퓨,,딸,,바,퓨,,3,,2,2,8,1
홀라바퓨정,,홀,바,퓨,,,1,2,2,,6,0
홀라바퓨정,,바,플,퓨,,,2,5,3,,7,1
홀라바퓨정,딸,샤,,,파,3,2,,,2,5,1
홀라바퓨정,딸,샤,바,퓨,뱀,5,3,1,,5,2,0
홀라바퓨정,,바,블,퓨,,,3,4,1,,8,0
홀라바퓨정,,샤,바,,퓨,,2,2,,,6,1
홀라바퓨정,보,에,바,오,허,2,5,2,4,4,2,1
홀라바퓨정,홀,바,블,퓨,정,1,1,5,1,4,5,1
홀딸샤바퓨,,,샤,바,퓨,,,2,,,6,1
홀라바퓨정,홀,샤,바,민,,5,5,2,4,,8,0
용바블퓨정,,홀,바,퓨,,,,2,2,,9,1
홀라바퓨정,딸,바,에,허,퓨,4,2,5,4,,5,1
홀라바퓨정,,바,,퓨,파,,,,,,8,1
홀라바퓨정,보,바,,민,,1,2,,,,0,1
홀라바퓨정,,샤,바,퓨,,,3,2,1,,5,0
용바블퓨정,딸,,블,허,,5,,5,5,,8,1
홀라바퓨정,딸,샤,,퓨,,5,5,,2,,6,1
용바블퓨정,홀,,,바,퓨,,,,2,2,5,0
홀라바퓨정,홀,바,블,,,1,2,5,,,10,0
홀라바퓨정,딸,샤,바,,퓨,4,3,2,,1,8,0
홀딸샤바퓨,딸,우,바,민,퓨,5,5,3,5,2,9,1
용바블퓨정,,샤,바,퓨,,,5,3,3,,6,1
용바블퓨정,,바,,퓨,파,,2,,1,3,2,1
홀딸샤바퓨,,,샤,바,퓨,,,5,2,1,9,0
홀라바퓨정,,,샤,바,퓨,,,5,2,3,5,1
홀라바퓨정,용,바,블,정,아,5,1,5,3,3,5,1
용바블퓨정,홀,샤,바,퓨,파,1,4,2,1,3,8,1
용바블퓨정,,바,블,퓨,,,3,5,2,,8,1
홀라바퓨정,딸,바,,,퓨,5,1,,,1,4,1
용바블퓨정,홀,,바,,퓨,,,2,,2,8,0
홀라바퓨정,,바,블,,퓨,,2,5,,1,8,1
홀라바퓨정,,락,민,,페,,5,5,,5,6,0
용바블퓨정,,바,퓨,호,정,,2,2,5,5,5,1
홀라바퓨정,,샤,,감,파,,5,,4,5,3,1
용바블퓨정,홀,샤,바,퓨,정,,5,2,2,5,6,1
용바블퓨정,용,바,,정,,5,3,,5,,5,1
용바블퓨정,홀,샤,바,퓨,정,,5,1,1,3,6,1
홀딸샤바퓨,,샤,바,퓨,,,5,2,1,,5,1
홀딸샤바퓨,딸,,바,,퓨,5,,2,,2,6,0
용바블퓨정,홀,,바,퓨,,,,2,3,,6,1
홀라바퓨정,,바,블,,퓨,,1,5,,1,8,1
홀라바퓨정,홀,,바,,퓨,1,,1,,,5,1
홀라바퓨정,,딸,,바,퓨,,5,,2,1,9,0
홀라바퓨정,홀,,바,퓨,파,2,,2,2,5,5,1
용바블퓨정,딸,샤,바,,퓨,5,5,2,,2,6,1
용바블퓨정,홀,,바,퓨,,2,,2,3,,6,1
용바블퓨정,홀,딸,샤,,,1,5,5,,,4,1
용바블퓨정,,바,퓨,,아,,2,2,,5,5,1
용바블퓨정,,샤,바,퓨,,,3,2,1,,8,1
용바블퓨정,,샤,바,퓨,,,5,3,2,,9,1
용바블퓨정,,바,,민,퓨,,2,,5,2,7,0
용바블퓨정,용,샤,바,정,아,5,5,1,5,5,6,1
용바블퓨정,,바,블,퓨,호,,3,5,1,4,2,1
용바블퓨정,,샤,바,퓨,,,4,3,2,,5,1
용바블퓨정,,딸,바,퓨,,,5,2,1,,8,0
홀라바퓨정,홀,,,블,퓨,0,,,5,1,4,1
홀라바퓨정,홀,,,바,퓨,0,,,1,2,4,1
홀라바퓨정,홀,딸,,바,,2,5,0,2,,8,0
홀라바퓨정,홀,바,,,퓨,0,1,,,2,6,0
홀라바퓨정,,딸,샤,바,퓨,,4,5,1,1,2,1
홀라바퓨정,딸,,떼,퓨,뱀,5,,5,2,5,4,0
홀라바퓨정,홀,딸,바,블,퓨,0,2,2,5,1,6,0
용바블퓨정,용,샤,바,정,아,5,4,0,2,3,4,1
용바블퓨정,홀,샤,바,,,1,4,2,,,9,0
용바블퓨정,용,바,블,정,,5,2,4,4,,8,1
용바블퓨정,,바,퓨,호,,,2,2,5,,8,1
용바블퓨정,,샤,바,퓨,정,,1,2,1,4,8,1
용바블퓨정,달,오,,호,,3,4,,5,,0,1
홀라바퓨정,,바,블,,퓨,,3,5,,,7,0
용바블퓨정,딸,샤,바,허,퓨,4,3,2,4,0,4,1
용바블퓨정,홀,샤,바,,,0,5,0,,,6,1
홀라바퓨정,,바,블,정,,2,4,5,,,6,1
홀라바퓨정,,샤,바,퓨,,,5,2,1,,5,1
홀라바퓨정,홀,바,블,퓨,,0,1,5,1,,6,1
용바블퓨정,,샤,바,퓨,,,4,2,2,,10,1
용바블퓨정,용,딸,바,퓨,,5,5,3,2,,5,1
용바블퓨정,홀,샤,바,퓨,,2,5,2,2,,9,0
용바블퓨정,홀,,바,퓨,,1,,3,2,,7,1
용바블퓨정,,바,블,퓨,뱀,,3,5,2,5,7,1
홀라바퓨정,,바,블,,퓨,,1,5,,2,6,0
홀라바퓨정,홀,샤,바,퓨,정,0,5,2,2,5,5,1
용바블퓨정,홀,바,블,,퓨,1,2,5,,1,5,0
용바블퓨정,,샤,바,정,아,,5,1,5,5,9,1
용바블퓨정,홀,딸,,바,퓨,1,5,,2,3,6,0
용바블퓨정,딸,바,퓨,,아,5,0,0,,5,10,0
홀라바퓨정,홀,,바,퓨,,2,,2,2,,9,0
용바블퓨정,,샤,바,,퓨,,5,3,,2,6,0
용바블퓨정,용,,블,정,아,5,,5,3,3,4,1
용바블퓨정,홀,,바,퓨,,0,,2,1,,4,1
용바블퓨정,,샤,바,블,정,,5,3,5,5,8,1
