me,mypoint,mypower,mypaper,enpoint,enpower,paper,c1,c2,c3,c4,c5,l1,l2,l3,l4,l5,win
홀샤바펌퓨,1668,673390,11,1421,714389,4,,샤,바,블,정,,5,2,5,5,1
홀샤바펌퓨,1671,673390,11,1668,716916,10,홀,샤,바,,,1,5,2,,,0
홀샤바펌퓨,1667,673390,11,1667,681309,7,,샤,바,퓨,,,5,2,2,,0
홀샤바펌퓨,1664,673390,11,1664,704374,7,,샤,바,,퓨,,5,2,,1,1
홀샤바펌퓨,1671,673390,11,1687,712482,9,홀,,바,,퓨,1,,3,,2,1
홀샤바펌퓨,1679,673390,11,1672,601590,7,홀,딸,,,퓨,0,5,,,2,1
홀샤바펌퓨,1686,673390,11,1487,607397,7,홀,딸,,바,퓨,2,5,,2,2,1
홀샤바펌퓨,1502,676744,11,1502,626994,9,홀,,바,,퓨,1,,2,,2,0
홀샤바펌퓨,1498,676744,11,1381,647427,8,,딸,,바,퓨,,5,,2,2,1
홀샤바펌퓨,1564,673122,11,1371,608572,8,,샤,바,퓨,,,5,3,3,,1
홀샤바펌퓨,1691,673390,11,1692,706814,10,,바,펌,,퓨,,3,3,,2,1
홀샤바펌퓨,1699,673390,11,1519,671413,0,홀,딸,샤,바,,2,5,5,3,,1
홀샤바펌퓨,1700,673390,11,1690,690128,9,홀,샤,바,,,2,5,3,,,0
홀샤바펌퓨,1696,673390,11,1505,616318,6,홀,딸,,바,퓨,1,5,,2,1,1
홀샤바펌퓨,1700,673390,11,1748,761531,9,홀,바,,,퓨,1,2,,,2,1
홀샤바펌퓨,1708,673390,11,1696,710383,10,홀,,바,,퓨,1,,3,,2,1
홀샤바펌퓨,1715,673390,11,1462,666290,10,,샤,바,,퓨,,4,2,,1,0
홀샤바펌퓨,1710,673390,11,1807,796244,11,홀,바,,,퓨,1,2,,,2,0
용바블퓨정,1707,669575,11,1707,658439,10,,바,블,,퓨,,1,5,,2,0
용바블퓨정,1703,673390,11,1700,674714,10,홀,,바,,퓨,1,,2,,2,1
홀샤바펌퓨,1716,673390,11,1710,734729,6,딸,,바,,퓨,5,,3,,1,0
홀샤바펌퓨,1709,675626,11,1522,588102,8,홀,,,바,퓨,0,,,1,2,1
홀샤바펌퓨,1713,675626,11,1490,635657,7,홀,,바,,퓨,2,,3,,2,1
홀샤바펌퓨,1709,675626,11,1522,588102,8,홀,,,바,퓨,0,,,1,2,1
용바블퓨정,1717,671857,11,1717,681368,10,,샤,바,퓨,,,5,2,2,,1
홀샤바펌퓨,1724,675626,11,1739,657466,8,,샤,바,,퓨,,4,1,,1,0
홀샤바펌퓨,1721,675626,11,1721,873169,8,홀,바,오,,,0,2,5,,,1
홀샤바펌퓨,1728,675626,11,1725,779461,9,홀,,바,퓨,,1,,3,3,,1
홀샤바펌퓨,1735,675626,11,1728,618961,7,홀,,바,,퓨,1,,2,,2,1
홀샤바펌퓨,1821,681482,11,1506,555031,7,홀,,바,,퓨,0,,3,,3,1
용바블퓨정,1824,681482,11,1818,655939,9,홀,샤,바,,,1,5,2,,,1
홀샤바펌퓨,1830,681482,11,1565,532302,7,홀,,바,,퓨,0,,2,,2,1
홀샤바펌퓨,1834,681482,11,1834,699500,8,,샤,바,퓨,,,5,3,2,,1
홀샤바펌퓨,1840,681482,11,1832,719153,8,,바,펌,,퓨,,2,5,,2,0
홀샤바펌퓨,1836,681482,11,1836,603921,6,,샤,바,,퓨,,5,2,,1,1
홀샤바펌퓨,1876,681482,11,1555,729082,9,,샤,바,,퓨,,5,3,,3,1
홀샤바펌퓨,1876,681482,11,1711,709980,9,딸,,바,,퓨,4,,1,,3,1
홀딸바펌퓨,1882,601436,11,1878,703718,12,,,바,블,퓨,,,3,5,2,1
홀딸바펌퓨,1845,601436,11,1845,716433,7,홀,,바,,퓨,2,,2,,2,0
홀샤바펌퓨,1841,681482,11,1841,633886,9,홀,샤,바,,,1,5,3,,,1
홀샤바펌퓨,1848,681482,11,1848,728370,11,홀,샤,,,퓨,2,5,,,2,0
홀샤바펌퓨,1844,681482,11,1848,784722,11,,샤,바,,퓨,,5,2,,3,1
홀샤바펌퓨,1834,685121,11,1881,729766,6,홀,바,,,퓨,1,3,,,2,1
홀샤바펌퓨,1839,685121,11,1834,753754,9,,샤,바,퓨,,,5,3,3,,1
홀샤바펌퓨,1914,685121,11,1914,797856,8,홀,,바,,퓨,1,,2,,2,1
홀샤바펌퓨,1925,685121,11,1935,676922,11,,샤,바,퓨,,,5,3,3,,1
홀샤바펌퓨,1925,685121,11,1914,677924,8,홀,샤,바,,,0,5,2,,,1
홀샤바펌퓨,1956,685121,11,1862,680358,8,홀,,바,,퓨,1,,2,,2,1
홀샤바펌퓨,1956,685121,11,1945,591170,9,,,바,퓨,정,,,2,3,5,1
홀바펌즐퓨,1975,601024,11,2000,763844,9,,바,,즐,퓨,,2,,5,2,1
홀샤바펌퓨,1987,685121,11,1975,677074,7,홀,,,펌,퓨,1,,,4,2,1
홀샤바펌퓨,1998,685121,11,1839,658763,9,홀,샤,바,펌,퓨,2,5,3,4,3,1
홀샤바펌퓨,2002,685121,11,1993,675972,10,홀,샤,바,,,2,4,3,,,1
홀샤바펌퓨,2011,685121,11,2002,616015,9,딸,바,,,퓨,5,2,,,2,0
홀샤바펌퓨,2013,663115,11,2005,680510,9,,,바,펌,퓨,,,2,3,2,0
홀샤바펌퓨,2004,663115,11,2005,681399,10,,,펌,목,퓨,,,3,1,2,0
홀바펌즐퓨,1995,678974,11,1995,716755,12,홀,,,바,퓨,2,,,3,3,0
홀샤바펌퓨,1986,663115,11,2006,707116,9,홀,샤,바,,,1,5,2,,,0
홀샤바펌퓨,1979,687047,11,1962,729743,6,딸,샤,바,,퓨,5,5,3,,2,1
홀샤바펌퓨,2005,687047,11,2002,659895,10,홀,바,서,,,3,3,0,,,1
홀샤바펌퓨,2014,687047,11,2001,633377,9,홀,샤,바,펌,퓨,2,4,2,5,2,1
홀샤바펌퓨,2023,687047,11,2023,618122,11,홀,바,,목,파,0,3,,1,5,1
홀샤바펌퓨,2023,687047,11,2023,618122,11,홀,바,,목,파,0,3,,1,5,1
홀샤바펌퓨,2032,687047,11,2023,720362,10,홀,,바,,퓨,1,,3,,2,1
홀샤바펌퓨,2041,687047,11,2105,583426,7,,바,,목,퓨,,2,,3,2,0
홀샤바펌퓨,2037,687047,11,2037,664777,9,홀,,,바,퓨,3,,,3,3,1
